consider ,  kənsɪdər
leads ,  lidz
go ,  go
follow ,  fɑlo
seemed ,  simd
send ,  sɛnd
does ,  dəz
helps ,  hɛlps
teaching ,  titʃɪŋ
include ,  ɪnklud
sent ,  sɛnt
returned ,  rətərnd
returning ,  rətərnɪŋ
continues ,  kəntɪnjuz
putting ,  pətɪŋ
decide ,  dəsajd
stays ,  stez
telling ,  tɛlɪŋ
continued ,  kəntɪnjud
believed ,  bəlivd
did ,  dɪd
die ,  daj
try ,  traj
says ,  sɛz
pass ,  pæs
eating ,  itɪŋ
plays ,  plez
stands ,  stændz
giving ,  gɪvɪŋ
agrees ,  əgriz
goes ,  goz
falling ,  fɑlɪŋ
told ,  told
supporting ,  səpɔrtɪŋ
led ,  lɛd
chose ,  tʃoz
drew ,  dru
understanding ,  əndərstændɪŋ
met ,  mɛt
let ,  lɛt
meet ,  mit
teaches ,  titʃəz
appears ,  əpɪrz
change ,  tʃendʒ
sending ,  sɛndɪŋ
receive ,  rəsiv
leaves ,  livz
changed ,  tʃendʒd
leaving ,  livɪŋ
makes ,  meks
leaved ,  leaved
followed ,  fɑlod
win ,  wɪn
explained ,  ɪksplend
brought ,  brɒt
put ,  pʊt
teach ,  titʃ
standing ,  stændɪŋ
use ,  jus
spoke ,  spok
working ,  wərkɪŋ
chooses ,  tʃuzəz
live ,  lajv
call ,  kɒl
means ,  minz
tell ,  tɛl
knows ,  noz
becomes ,  bɪkəmz
carrying ,  kæriɪŋ
broke ,  brok
producing ,  prədusɪŋ
carried ,  kærid
keeping ,  kipɪŋ
work ,  wərk
believes ,  bəlivz
learn ,  lərn
growing ,  groɪŋ
making ,  mekɪŋ
hears ,  hɪrz
give ,  gɪv
heard ,  hərd
want ,  wɑnt
breaking ,  brekɪŋ
needs ,  nidz
sit ,  sɪt
get ,  gɛt
stayed ,  sted
write ,  rajt
speaks ,  spiks
explains ,  ɪksplenz
staying ,  steɪŋ
tried ,  trajd
stop ,  stɑp
tries ,  trajz
produce ,  prədus
coming ,  kəmɪŋ
grow ,  gro
remember ,  rəmɛmbər
wins ,  wɪnz
eats ,  its
keeps ,  kips
playing ,  pleɪŋ
serving ,  sərvɪŋ
help ,  hɛlp
produces ,  prədusəz
developed ,  dɪvɛləpt
move ,  muv
produced ,  prədust
including ,  ɪnkludɪŋ
cuts ,  kəts
bringing ,  brɪŋɪŋ
writing ,  rajtɪŋ
offers ,  ɒfərz
choose ,  tʃuz
covered ,  kəvərd
happened ,  hæpənd
return ,  rətərn
catches ,  kætʃəz
break ,  brek
cutting ,  kətɪŋ
killed ,  kɪld
payed ,  payed
stopped ,  stɑpt
found ,  fawnd
went ,  wɛnt
mean ,  min
doing ,  duɪŋ
taught ,  tɒt
happen ,  hæpən
leave ,  liv
opened ,  opənd
got ,  gɑt
receiving ,  rəsivɪŋ
supports ,  səpɔrts
shows ,  ʃoz
ask ,  æsk
sitting ,  sɪtɪŋ
wanted ,  wɒntəd
beginning ,  bɪgɪnɪŋ
ate ,  et
created ,  krietəd
needing ,  nidɪŋ
keep ,  kip
creates ,  kriets
uses ,  jusəz
think ,  θɪŋk
seeming ,  simɪŋ
feel ,  fil
reaches ,  ritʃəz
hearing ,  hɪrɪŋ
carry ,  kæri
reached ,  ritʃt
open ,  opən
passes ,  pæsəz
leading ,  lidɪŋ
caught ,  kɑt
needed ,  nidəd
returns ,  rətərnz
passed ,  pæst
speaking ,  spikɪŋ
gives ,  gɪvz
selling ,  sɛlɪŋ
serve ,  sərv
took ,  tʊk
fall ,  fɑl
believe ,  bəliv
begins ,  bɪgɪnz
grew ,  gru
showed ,  ʃod
feeling ,  filɪŋ
remembers ,  rəmɛmbərz
deciding ,  dəsajdɪŋ
sees ,  siz
ran ,  ræn
say ,  se
have ,  hæv
need ,  nid
take ,  tek
sells ,  sɛlz
saw ,  sɒ
tells ,  tɛlz
sat ,  sæt
sell ,  sɛl
built ,  bɪlt
build ,  bɪld
finding ,  fajndɪŋ
wanting ,  wɑntɪŋ
play ,  ple
knew ,  nu
reach ,  ritʃ
falls ,  fɒlz
learns ,  lərnz
stood ,  stʊd
appear ,  əpɪr
understands ,  əndərstændz
considered ,  kənsɪdərd
cover ,  kəvər
drawing ,  drɒɪŋ
came ,  kem
saying ,  seɪŋ
walking ,  wɒkɪŋ
show ,  ʃo
agreed ,  əgrid
supported ,  səpɔrtəd
bring ,  brɪŋ
find ,  fajnd
writes ,  rajts
going ,  goɪŋ
believing ,  bəlivɪŋ
buying ,  bajɪŋ
hope ,  hop
meant ,  mɛnt
do ,  du
hit ,  hɪt
watching ,  wɑtʃɪŋ
watch ,  wɑtʃ
feels ,  filz
following ,  fɑloɪŋ
runs ,  rənz
draws ,  drɒz
covering ,  kəvərɪŋ
calling ,  kɒlɪŋ
wrote ,  rot
set ,  sɛt
decides ,  dəsajdz
see ,  si
decided ,  dəsajdəd
are ,  ɑr
said ,  sɛd
learnt ,  lərnt
won ,  wən
reading ,  rɛdɪŋ
bought ,  bɑt
knowing ,  noɪŋ
creating ,  krietɪŋ
opening ,  opənɪŋ
sold ,  sold
killing ,  kɪlɪŋ
come ,  kəm
received ,  rəsivd
hits ,  hɪts
taking ,  tekɪŋ
agree ,  əgri
became ,  bɪkem
receives ,  rəsivz
passing ,  pæsɪŋ
finds ,  fajndz
comes ,  kəmz
appeared ,  əpɪrd
seems ,  simz
walk ,  wɑk
learning ,  lərnɪŋ
winning ,  wɪnɪŋ
considers ,  kənsɪdərz
speak ,  spik
considering ,  kənsɪdərɪŋ
raise ,  rez
puts ,  pʊts
create ,  kriet
hitting ,  hɪtɪŋ
meeting ,  mitɪŋ
wants ,  wɑnts
lived ,  lajvd
offered ,  ɒfərd
understand ,  əndərstænd
covers ,  kəvərz
catch ,  kætʃ
worked ,  wərkt
paying ,  peɪŋ
developing ,  dɪvɛləpɪŋ
stopping ,  stɑpɪŋ
remembering ,  rəmɛmbərɪŋ
hoping ,  hopɪŋ
played ,  pled
is ,  ɪz
helped ,  hɛlpt
reads ,  ridz
sits ,  sɪts
seem ,  sim
develop ,  dɪvɛləp
pay ,  pe
make ,  mek
buys ,  bajz
gets ,  gɛts
grows ,  groz
meets ,  mits
used ,  juzd
running ,  rənɪŋ
moving ,  muvɪŋ
changing ,  tʃendʒɪŋ
kept ,  kɛpt
changes ,  tʃendʒəz
spent ,  spɛnt
asked ,  æskt
thought ,  θɒt
sets ,  sɛts
spend ,  spɛnd
being ,  biɪŋ
kill ,  kɪl
letting ,  lɛtɪŋ
cut ,  kət
thinking ,  θɪŋkəŋ
had ,  hæd
lets ,  lɛts
has ,  hæz
gave ,  gev
kills ,  kɪlz
read ,  rɛd
showing ,  ʃoɪŋ
know ,  no
using ,  juzɪŋ
appearing ,  əpɪrɪŋ
lost ,  lɒst
follows ,  fɑloz
serves ,  sərvz
loses ,  luzəz
continue ,  kəntɪnju
lose ,  luz
served ,  sərvd
works ,  wərks
sends ,  sɛndz
begin ,  bɪgɪn
understood ,  əndərstʊd
choosing ,  tʃuzɪŋ
thinks ,  θɪŋks
happens ,  hæpənz
lead ,  lɛd
stops ,  stɑps
asking ,  æskɪŋ
run ,  rən
reaching ,  ritʃɪŋ
remembered ,  rəmɛmbərd
continuing ,  kəntɪnjuɪŋ
become ,  bɪkəm
losing ,  luzɪŋ
includes ,  ɪnkludz
takes ,  teks
asks ,  æsks
getting ,  gɛtɪŋ
develops ,  dɪvɛləps
carries ,  kæriz
stand ,  stænd
seeing ,  siɪŋ
